file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\main\com\mongodb\client\gridfs\GridFSUploadStream.java,com.mongodb.client.gridfs.GridFSUploadStream,class,4,9,5,4,8,2,1,0,28,0.0,0.0,0.0,8,0,8,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1025,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-reactive-streams\src\test\functional\com\mongodb\reactivestreams\client\WriteConcernProseTest.java,com.mongodb.reactivestreams.client.WriteConcernProseTest,class,13,14,1,13,8,2,0,24,9,0.5833334,0.0,0.0,6,0,2,4,0,0,2,0,0,0,2,0,0,2,0,0,0,0,3,39,1,0,0,1,0,30,9,2,0,2,1,0,0,0,70,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\operation\OperationHelper.java,com.mongodb.internal.operation.OperationHelper$CallableWithSource,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\validator\ReplacingDocumentFieldNameValidator.java,com.mongodb.internal.validator.ReplacingDocumentFieldNameValidator,class,3,6,3,3,3,1,0,6,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,2,0,2,0,0,2,0,2,14,3,0,0,0,0,5,0,2,0,2,0,0,0,0,80,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-legacy\src\main\com\mongodb\DBCollectionObjectFactory.java,com.mongodb.DBCollectionObjectFactory,class,7,12,5,7,12,1,0,12,30,0.6666667,0.0,0.0,9,0,4,3,0,2,6,0,0,0,1,0,0,1,0,0,1,0,3,46,6,0,1,1,0,1,0,3,1,3,1,0,0,0,32,16,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-legacy\src\main\com\mongodb\MongoClientOptions.java,com.mongodb.MongoClientOptions,class,25,34,9,25,56,1,0,56,0,0.705,0.7755102,0.88010204,50,3,49,1,0,0,49,0,0,0,4,0,0,4,0,0,4,0,10,367,51,0,6,0,0,5,0,6,2,7,2,0,1,1,466,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\main\org\bson\codecs\CharacterCodec.java,org.bson.codecs.CharacterCodec,class,7,8,1,7,4,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,1,0,0,3,2,1,1,1,1,0,0,0,31,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\codecs\pojo\entities\SimpleIdModel.java,org.bson.codecs.pojo.entities.SimpleIdModel,class,2,6,4,2,20,1,0,5,0,0.44444442,0.6212121,0.8333333,12,0,12,0,0,0,12,0,0,0,3,0,0,3,0,0,0,0,3,58,10,0,6,0,2,4,5,10,6,5,1,0,0,0,24,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\Server.java,com.mongodb.internal.connection.Server,interface,5,12,7,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\BsonBinaryReaderTest.java,org.bson.BsonBinaryReaderTest,class,9,10,1,9,6,1,0,14,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,2,0,6,59,4,0,4,1,0,0,0,56,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\InternalConnectionInitializationDescription.java,com.mongodb.internal.connection.InternalConnectionInitializationDescription,class,3,7,4,3,4,1,0,0,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,27,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-reactive-streams\src\examples\reactivestreams\helpers\SubscriberHelpers.java,reactivestreams.helpers.SubscriberHelpers$PrintSubscriber,innerclass,3,3,0,3,2,3,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,0,1,1,0,1,1,1,0,0,0,0,22,9,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\AsynchronousChannelStream.java,com.mongodb.internal.connection.AsynchronousChannelStream$BaseCompletionHandler,innerclass,4,4,0,4,2,1,0,1,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1034,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\client\model\Accumulators.java,com.mongodb.client.model.Accumulators,class,13,14,1,13,32,1,0,12,406,0.0,0.0,0.0,29,28,24,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,26,92,28,0,3,0,0,63,0,1,0,3,1,0,0,2,182,17,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\test\unit\com\mongodb\internal\connection\TestServer.java,com.mongodb.internal.connection.TestServer,class,12,14,2,12,14,1,0,9,44,0.77777785,0.16666667,0.18181819,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,3,0,0,56,4,0,2,0,0,0,1,9,0,8,1,0,0,0,46,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-benchmarks\src\main\com\mongodb\benchmark\benchmarks\AbstractBsonDocumentBenchmark.java,com.mongodb.benchmark.benchmarks.AbstractBsonDocumentBenchmark,class,9,12,3,9,5,2,0,9,0,0.6571428,0.5,1.0,5,0,4,1,0,0,4,0,0,0,7,0,0,3,4,0,4,0,0,33,3,0,0,0,0,0,0,10,1,10,0,0,0,0,53,1025,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\client\model\mql\Branches.java,com.mongodb.client.model.mql.Branches,class,19,31,12,19,16,1,0,20,120,0.0,0.0,0.0,16,2,13,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,27,68,15,0,0,0,0,19,0,1,0,23,0,0,0,22,100,17,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\LoadBalancedCluster.java,com.mongodb.internal.connection.LoadBalancedCluster$ServerSelectionRequest,innerclass,3,3,0,3,6,1,0,3,0,0.5,0.33333334,0.33333334,4,0,2,1,0,1,3,0,0,0,3,0,0,3,0,0,3,0,1,28,1,0,0,2,0,2,0,3,2,3,1,0,0,0,23,26,2
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\test\functional\com\mongodb\client\unified\SessionsTest.java,com.mongodb.client.unified.SessionsTest,class,6,6,0,6,2,3,0,1,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,4,0,0,0,0,0,0,0,0,17,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\test\functional\com\mongodb\client\unified\ErrorMatcher.java,com.mongodb.client.unified.ErrorMatcher,class,11,13,2,11,14,1,0,27,0,0.16666667,1.0,1.0,2,0,0,0,0,2,2,0,0,0,3,1,0,3,0,0,3,0,2,54,0,2,0,0,4,43,0,8,6,8,2,0,0,0,72,16,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\RequestContext.java,com.mongodb.RequestContext,interface,3,15,12,3,15,1,0,7,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,2,33,5,0,1,0,0,1,0,1,1,1,1,0,0,0,124,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\codecs\pojo\entities\conventions\CreatorConstructorNoKnownIdModel.java,org.bson.codecs.pojo.entities.conventions.CreatorConstructorNoKnownIdModel,class,4,6,2,4,10,1,0,3,0,0.16666667,0.93333334,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,2,30,7,0,4,0,0,4,0,3,2,3,1,0,0,0,23,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\IdHoldingBsonWriter.java,com.mongodb.internal.connection.IdHoldingBsonWriter$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
