file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\bubblechart\BubbleChart.java,org.primefaces.component.bubblechart.BubbleChart,class,6,7,1,6,5,4,0,11,6,0.8125,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,4,1,3,0,0,4,0,2,25,3,0,0,0,0,15,0,9,0,9,1,0,0,0,46,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\model\menu\MenuColumn.java,org.primefaces.model.menu.MenuColumn,interface,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\expression\impl\FindComponentExpressionResolver.java,org.primefaces.expression.impl.FindComponentExpressionResolver,class,4,5,1,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-showcase\src\main\java\org\primefaces\showcase\view\data\timeline\DndTimelineView.java,org.primefaces.showcase.view.data.timeline.DndTimelineView,class,10,10,0,10,8,1,0,23,1,0.60714287,0.47619048,1.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,1,0,2,40,4,1,0,0,0,5,4,9,2,9,1,0,0,0,35,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-integration-tests\src\main\java\org\primefaces\integrationtests\selectmanymenu\SelectManyMenu001.java,org.primefaces.integrationtests.selectmanymenu.SelectManyMenu001,class,8,8,0,8,4,1,0,11,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,1,0,4,0,0,1,0,4,18,0,0,1,0,0,3,3,3,0,5,1,0,0,1,22,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\test\java\org\primefaces\model\CheckboxTreeNodeTest.java,org.primefaces.model.CheckboxTreeNodeTest,class,4,4,0,4,7,1,0,15,0,0.0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,93,0,0,0,0,0,37,25,36,0,36,0,0,0,0,58,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\model\SortMeta.java,org.primefaces.model.SortMeta,class,11,17,6,11,39,1,0,26,125,0.84782606,0.19367589,0.7509881,23,3,22,0,0,1,23,0,0,0,12,3,2,10,0,0,3,0,8,162,22,0,11,0,1,10,3,29,3,19,1,0,1,0,76,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-showcase\src\main\java\org\primefaces\showcase\view\data\ChronolineView.java,org.primefaces.showcase.view.data.ChronolineView$Event,innerclass,0,0,0,0,13,1,0,0,30,0.7076923,0.30769232,0.84615386,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,52,5,0,0,0,0,0,0,14,0,5,0,0,0,0,13,9,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-showcase\src\main\java\org\primefaces\showcase\view\data\timeline\BasicTimelineView.java,org.primefaces.showcase.view.data.timeline.BasicTimelineView,class,7,7,0,7,17,1,0,10,120,0.8823529,0.05882353,0.05882353,17,0,16,0,1,0,17,0,0,0,8,0,0,8,0,0,0,0,15,78,8,0,0,0,0,18,45,17,0,10,0,0,0,0,38,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\util\Jsf23Helper.java,org.primefaces.util.Jsf23Helper,class,1,2,1,1,2,1,0,3,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\schedule\ScheduleRangeEvent.java,org.primefaces.event.schedule.ScheduleRangeEvent,class,3,3,0,3,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0
